Product_id,Product_name,Product_description,Unit_price,Stock,Supplier_id,Category_id
PR0001,EliteBook Pro Laptop,"Experience ultimate productivity with the EliteBook Pro Laptop. Featuring cutting-edge technology, a sleek design, and powerful performance, this laptop is perfect for professionals on the go.",899.99,49,SU0001,CA0006
PR0002,PowerPlus Portable Charger,"Never run out of battery again with the PowerPlus Portable Charger. Compact and lightweight, this charger is your reliable companion for charging your devices anytime, anywhere.",24.99,14,SU0001,CA0006
PR0003,InfinityEdge Smartphone,"Immerse yourself in the InfinityEdge Smartphone's stunning display and powerful features. With its sleek design and advanced camera technology, capturing life's moments has never been easier.",699.99,31,SU0002,CA0007
PR0004,SwiftCharge Wireless Charging Pad,Charge your devices quickly and wirelessly with the SwiftCharge Wireless Charging Pad. Simply place your phone on the pad and enjoy hassle-free charging.,29.99,25,SU0002,CA0007
PR0005,SonicSurge Soundbar,"Enhance your entertainment experience with the SonicSurge Soundbar. Featuring immersive sound and sleek design, this soundbar brings your favorite movies and music to life.",149.99,19,SU0003,CA0008
PR0006,Visionary VR Headset,"Step into virtual worlds with the Visionary VR Headset. With its immersive 3D experience and comfortable design, this headset takes gaming and entertainment to the next level.",199.99,11,SU0003,CA0008
PR0007,PixelPerfect DSLR Camera,"Capture stunning photos with the PixelPerfect DSLR Camera. With its high-resolution sensor and advanced features, this camera ensures every shot is picture-perfect.",799.99,36,SU0004,CA0009
PR0008,FlashFocus Camera Flash,"Illuminate your photos with the FlashFocus Camera Flash. Whether you're indoors or outdoors, this flash provides the perfect lighting for your shots.",49.99,7,SU0004,CA0009
PR0009,FitTrack Fitness Tracker,"Track your fitness goals and monitor your health with the FitTrack Fitness Tracker. With its sleek design and comprehensive features, staying active has never been easier.",79.99,2,SU0005,CA0010
PR0010,SmartSync Smartwatch,"Stay connected and organized with the SmartSync Smartwatch. From managing notifications to tracking your workouts, this smartwatch keeps you on top of your day.",129.99,16,SU0005,CA0010
PR0011,SmartHome Hub Pro,"Transform your home into a smart home with the SmartHome Hub Pro. Control your lights, thermostat, and more from anywhere with this advanced home automation hub.",149.99,23,SU0006,CA0011
PR0012,EcoSaver Energy Monitor,"Monitor and reduce your energy consumption with the EcoSaver Energy Monitor. With real-time insights and personalized recommendations, saving energy has never been simpler.",39.99,33,SU0006,CA0011
PR0013,CyberGamer Elite Console,"Immerse yourself in the world of gaming with the CyberGamer Elite Console. Featuring powerful graphics and lightning-fast performance, this console delivers an unparalleled gaming experience.",299.99,20,SU0007,CA0012
PR0014,ImmersiTech VR Headset,"Dive into virtual reality with the ImmersiTech VR Headset. With its immersive visuals and comfortable design, this headset transports you to new worlds.",249.99,41,SU0007,CA0012
PR0015,OfficeJet Pro All-in-One Printer,"Get more done with the OfficeJet Pro All-in-One Printer. From printing and scanning to copying and faxing, this printer is your all-in-one solution for productivity.",199.99,8,SU0008,CA0013
PR0016,WorkForce Wireless Scanner,"Scan documents and images with ease using the WorkForce Wireless Scanner. With its wireless connectivity and high-resolution scanning, this scanner simplifies your workflow.",149.99,47,SU0008,CA0013
PR0017,PowerPlus Portable Charger,"Never run out of battery again with the PowerPlus Portable Charger. Compact and lightweight, this charger is your reliable companion for charging your devices anytime, anywhere.",24.99,4,SU0009,CA0014
PR0018,SonicBoom Bluetooth Speaker,"Experience powerful sound with the SonicBoom Bluetooth Speaker. Whether you're at home or on the go, this speaker delivers crisp audio and deep bass.",39.99,39,SU0009,CA0014
PR0019,FlexTech Polo Shirt,"Stay comfortable and stylish with the FlexTech Polo Shirt. Featuring moisture-wicking fabric and a modern design, this polo shirt is perfect for everyday wear.",19.99,42,SU0010,CA0015
PR0020,ActiveTech Tank Top,"Stay cool and dry during workouts with the ActiveTech Tank Top. With its breathable fabric and ergonomic design, this tank top is your go-to choice for active days.",14.99,10,SU0010,CA0015
PR0021,FlexFit Stretch Jeans,"Experience comfort and style with FlexFit Stretch Jeans. With their stretchy fabric and modern fit, these jeans are perfect for any occasion.",34.99,6,SU0011,CA0016
PR0022,CommuterTech Trousers,"Stay comfortable and stylish on the go with CommuterTech Trousers. With their wrinkle-resistant fabric and versatile design, these trousers are perfect for everyday wear.",29.99,46,SU0011,CA0016
PR0023,ClassicChic Midi Dress,"Look elegant and sophisticated in the ClassicChic Midi Dress. With its timeless design and flattering silhouette, this dress is perfect for any special occasion.",49.99,30,SU0012,CA0017
PR0024,GalaGlam Evening Gown,"Make a statement at your next event with the GalaGlam Evening Gown. With its luxurious fabric and stunning design, this gown is sure to turn heads.",99.99,44,SU0012,CA0017
PR0025,ArcticShield Winter Jacket,"Stay warm and stylish in the ArcticShield Winter Jacket. With its insulated design and weather-resistant fabric, this jacket is perfect for cold weather adventures.",79.99,5,SU0013,CA0018
PR0026,RainGuard Waterproof Coat,"Stay dry and comfortable in the RainGuard Waterproof Coat. With its breathable fabric and sealed seams, this coat keeps you protected from the elements.",59.99,3,SU0013,CA0018
PR0027,EnduranceFit Performance Leggings,"Push your limits in the EnduranceFit Performance Leggings. With their moisture-wicking fabric and supportive fit, these leggings are perfect for intense workouts.",29.99,15,SU0014,CA0019
PR0028,SwiftStride Running Shorts,"Stay comfortable during your runs with SwiftStride Running Shorts. With their lightweight fabric and breathable design, these shorts keep you cool and focused.",19.99,26,SU0014,CA0019
PR0029,CloudComfort Bralette,"Experience all-day comfort with the CloudComfort Bralette. With its soft fabric and supportive fit, this bralette is perfect for everyday wear.",14.99,18,SU0015,CA0020
PR0030,SilkSerenity Sleepwear Set,"Relax in luxury with the SilkSerenity Sleepwear Set. Made from silky-smooth fabric and featuring a timeless design, this sleepwear set is perfect for lounging at home.",39.99,1,SU0015,CA0020
PR0031,BeachBreeze Bikini,"Soak up the sun in style with the BeachBreeze Bikini. With its flattering fit and vibrant print, this bikini is perfect for beach days and pool parties.",29.99,45,SU0016,CA0021
PR0032,SunSplash Swim Trunks,"Dive into summer fun with SunSplash Swim Trunks. With their quick-drying fabric and comfortable fit, these swim trunks are perfect for days spent by the water.",24.99,34,SU0016,CA0021
PR0033,ElegantElegance Evening Gown,"Make a glamorous entrance in the ElegantElegance Evening Gown. With its flowing silhouette and intricate details, this gown is perfect for formal events.",99.99,48,SU0017,CA0022
PR0034,RegalRise Tuxedo,"Look sharp and sophisticated in the RegalRise Tuxedo. With its classic design and tailored fit, this tuxedo is perfect for weddings and black tie events.",149.99,17,SU0017,CA0022
PR0035,ChicCharm Statement Necklace,"Add a touch of elegance to any outfit with the ChicCharm Statement Necklace. With its eye-catching design and shimmering crystals, this necklace is sure to impress.",49.99,37,SU0018,CA0023
PR0036,GlamourGlide Sunglasses,"Protect your eyes in style with GlamourGlide Sunglasses. With their sleek design and UV protection, these sunglasses are perfect for sunny days.",29.99,22,SU0018,CA0023
PR0037,UrbanElegance Sofa,"Elevate your living space with the UrbanElegance Sofa. With its modern design and plush cushions, this sofa adds style and comfort to any room.",599.99,40,SU0019,CA0024
PR0038,CozyComfort Armchair,"Sink into relaxation with the CozyComfort Armchair. With its oversized design and soft upholstery, this armchair is perfect for lounging after a long day.",399.99,27,SU0019,CA0024
PR0039,ChefMaster Blender,"Blend your favorite ingredients with ease using the ChefMaster Blender. With its powerful motor and durable blades, this blender is perfect for making smoothies, soups, and more.",59.99,32,SU0020,CA0025
PR0040,SmartCook Oven,"Cook with precision and convenience using the SmartCook Oven. With its advanced features and intuitive controls, this oven makes cooking effortless.",349.99,9,SU0020,CA0025
PR0041,CulinaryCraft Cookware Set,"Equip your kitchen with the CulinaryCraft Cookware Set. With its durable construction and versatile pieces, this cookware set is perfect for everyday cooking and special occasions.",129.99,38,SU0021,CA0026
PR0042,Baker'sDelight Bakeware Collection,"Bake delicious treats with the Baker'sDelight Bakeware Collection. From cakes to cookies, this collection has everything you need to satisfy your sweet tooth.",79.99,13,SU0021,CA0026
PR0043,UrbanZen Wall Art,"Add a touch of sophistication to your walls with UrbanZen Wall Art. With its contemporary designs and vibrant colors, this wall art transforms any space into a work of art.",79.99,50,SU0022,CA0027
PR0044,CozyCorners Throw Pillow,"Enhance your home decor with the CozyCorners Throw Pillow. With its soft fabric and stylish design, this throw pillow adds comfort and charm to any room.",19.99,21,SU0022,CA0027
PR0045,SpaceSaver Closet Organizer,"Maximize your closet space with the SpaceSaver Closet Organizer. With its adjustable shelves and versatile design, this organizer keeps your wardrobe neat and organized.",49.99,24,SU0023,CA0028
